AwayGoals,AwayPos,aShots,aOnt,aOft,aBlock,aPass,aClear,aCorners,aOff,aTackles,aAerial,aSaves,aFouls,aFoulsW,aYellow,aRed
0,47.5,10,2,7,1,76.9,1,5,0,57.1,65,1,6,12,2,0
2,24,7,2,3,2,64.8,2,1,2,66.7,57.7,2,14,11,2,0
4,56.7,13,7,4,2,74.8,4,5,0,63.2,56.4,1,15,7,1,0
0,68.1,12,3,5,4,86.2,1,6,2,54.5,43.9,1,10,9,3,0
0,52.3,8,3,3,2,82.6,0,4,1,47.8,43.5,3,7,10,1,0
0,59.2,11,2,4,5,76.9,2,9,1,88.9,53.2,2,12,5,1,1
1,49.3,2,1,1,0,74.3,1,6,2,62.5,60.7,6,17,8,4,0
5,42.4,22,12,7,3,77.7,3,6,1,56.3,58.3,4,17,13,3,0
0,60.5,9,3,4,2,82.1,0,7,3,60,49,2,6,7,2,0
2,48.3,7,4,1,2,80.8,2,2,4,60,42.6,4,7,9,2,0
1,45.2,10,5,3,2,77.7,3,7,4,57.9,52.4,3,13,17,2,0
0,31.1,3,0,3,0,76.8,0,0,1,64.7,59.1,1,9,11,1,1
1,70.4,16,4,9,3,86,2,5,1,81.8,56.5,2,4,8,1,0
2,39.8,10,3,4,3,63,3,3,0,53.8,52.5,1,16,10,4,0
2,50.9,17,6,4,7,77.2,2,6,2,69.6,51,3,8,7,1,0
0,47.4,8,1,4,3,82.5,1,2,2,57.1,50,8,13,5,3,0
0,55.4,10,3,2,5,83.6,1,5,1,29.4,42.3,1,10,14,1,0
1,58.6,14,6,6,2,86.3,0,6,1,50,48.6,2,16,5,2,0
0,60.9,14,5,6,3,84.4,0,6,1,66.7,64.7,1,6,5,1,0
3,62.8,19,8,7,4,91.1,3,2,5,46.7,40.7,6,8,4,2,0
1,50.1,13,4,3,6,77.8,3,7,0,51.6,45.9,4,10,7,1,1
0,53.5,9,3,2,4,83.3,2,7,1,69.2,38.2,4,9,8,2,0
2,41.9,14,9,3,2,81.3,3,4,0,45,35.7,3,15,13,1,0
2,45,6,3,2,1,73,2,4,1,45.5,47.4,1,13,7,3,0
1,55.8,11,4,6,1,82.1,2,2,3,72.2,55.6,5,13,16,2,0
0,58.6,11,2,6,3,82.8,0,3,0,63.2,50,4,10,11,1,0
2,30.2,2,1,1,0,63.4,1,3,1,66.7,55.8,3,9,8,3,0
0,31.3,5,4,0,1,78.9,0,4,2,41.7,26.7,3,9,5,2,0
0,71.3,16,3,6,7,88.2,1,3,3,50,48.6,4,8,12,1,0
3,35.2,6,3,1,2,59.3,3,5,2,75,54.2,6,9,8,3,0
0,53.4,13,1,5,7,83.2,0,4,3,66.7,51.5,5,12,13,1,1
1,59.5,14,5,5,4,76.4,2,7,0,50,51.1,3,14,4,4,0
2,47.6,7,4,2,1,82.8,1,1,0,76.9,33.3,8,4,12,3,0
1,24.7,8,1,4,3,72.7,0,1,8,55,34.2,5,4,5,0,0
1,37.5,7,1,6,0,62.7,0,6,2,76.5,48.1,4,7,13,2,0
0,58.3,9,3,4,2,79.2,2,9,2,56.7,59.3,4,14,14,2,0
1,51.8,11,7,3,1,77.7,4,6,1,50,55.6,4,7,10,1,0
0,35.9,11,6,2,3,77.3,0,3,0,73.3,42.9,2,11,19,3,0
